Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,35.0,37.0,32.25,32.5,27.721376419067383,234387500
2014-11-24,32.75,33.75,32.0,32.0,27.29489517211914,28320000
2014-11-25,32.25,34.75,31.5,34.75,29.640554428100586,21955500
2014-11-26,34.5,35.0,33.75,33.75,28.787586212158203,17067500
2014-11-27,33.5,34.5,33.5,33.5,28.574344635009766,7245200
2014-11-28,33.75,35.75,33.5,34.75,29.640554428100586,31071900
2014-12-01,35.25,37.0,35.25,36.25,30.920000076293945,38494000
2014-12-02,36.5,37.75,36.0,36.75,31.346481323242188,42507600
2014-12-03,36.75,36.75,36.0,36.25,30.920000076293945,7701000
2014-12-04,36.5,36.75,36.25,36.25,30.920000076293945,5985600
2014-12-08,35.5,36.25,34.25,34.5,29.427305221557617,5949200
2014-12-09,34.5,36.0,34.5,35.25,30.06702995300293,3659300
2014-12-11,34.75,35.25,33.0,34.25,29.214067459106445,3352300
2014-12-12,34.25,34.5,33.5,33.75,28.787586212158203,1874300
2014-12-15,33.5,33.5,28.75,32.0,27.29489517211914,5964000
2014-12-16,31.0,32.75,30.25,32.0,27.29489517211914,3669000
2014-12-17,31.5,33.5,31.5,33.0,28.14786148071289,1435200
2014-12-18,33.5,33.5,31.75,32.5,27.721376419067383,1503600
2014-12-19,32.5,32.5,32.0,32.25,27.508134841918945,537700
2014-12-22,32.75,34.5,32.5,34.0,29.000823974609375,1959200
2014-12-23,34.0,35.5,34.0,34.5,29.427305221557617,2696900
2014-12-24,34.75,34.75,33.25,33.25,28.361099243164062,1116900
2014-12-25,33.25,33.25,32.5,32.75,27.93462371826172,959800
2014-12-26,32.75,33.5,32.0,33.25,28.361099243164062,779400
2014-12-29,33.25,33.5,32.75,33.0,28.14786148071289,394200
2014-12-30,32.5,33.5,32.0,33.5,28.574344635009766,1036500
2015-01-05,33.25,33.5,32.75,33.0,28.14786148071289,606600
2015-01-06,32.25,32.5,31.0,31.25,26.655168533325195,2062200
2015-01-07,31.25,31.5,29.25,30.25,25.802209854125977,8869200
2015-01-08,30.25,31.25,30.25,31.25,26.655168533325195,5676100
