Date,Open,High,Low,Close,Adj Close,Volume
2001-12-06,38.0,38.25,35.5,35.75,35.75,173680800
2001-12-07,36.25,36.25,35.5,35.5,35.5,41253300
2001-12-11,35.5,35.5,34.0,34.0,34.0,40915800
2001-12-12,34.25,35.25,34.0,35.0,35.0,30729100
2001-12-13,35.0,35.25,35.0,35.0,35.0,37296100
2001-12-14,35.0,35.25,34.5,34.5,34.5,27018000
2001-12-17,34.75,34.75,34.5,34.5,34.5,6989000
2001-12-19,34.5,34.75,34.25,34.25,34.25,7877400
2001-12-20,34.25,34.75,34.25,34.5,34.5,7051200
2001-12-21,34.5,34.75,34.25,34.25,34.25,8558600
2001-12-24,34.25,34.5,34.25,34.25,34.25,5293000
2001-12-26,34.25,34.75,34.25,34.25,34.25,8217400
2001-12-27,34.5,34.75,34.25,34.25,34.25,1749300
2001-12-28,34.5,34.75,34.25,34.5,34.5,4812600
2002-01-02,34.5,34.5,34.25,34.25,34.25,2889500
2002-01-04,35.25,35.25,35.0,35.0,35.0,10738300
2002-01-07,35.0,35.25,34.75,34.75,34.75,9619800
2002-01-08,34.75,35.25,34.75,35.0,35.0,11686600
2002-01-09,35.0,35.5,34.75,34.75,34.75,8868900
2002-01-10,34.75,35.0,34.75,35.0,35.0,4322400
2002-01-11,35.0,35.0,34.75,35.0,35.0,1415500
2002-01-14,34.75,35.0,34.75,34.75,34.75,2125300
2002-01-15,34.75,34.75,34.5,34.5,34.5,2913600
2002-01-16,34.5,35.0,34.5,35.0,35.0,5077100
2002-01-17,35.0,35.0,34.5,34.75,34.75,1984800
2002-01-18,34.75,34.75,34.5,34.5,34.5,1960400
2002-01-22,34.5,34.75,34.5,34.5,34.5,1446300
2002-01-23,34.75,34.75,34.5,34.5,34.5,3263700
2002-01-24,34.5,34.75,34.5,34.5,34.5,2721300
2002-01-25,34.75,34.75,34.25,34.25,34.25,10357800
2002-01-28,34.5,34.75,34.25,34.25,34.25,6371100
2002-01-29,34.5,34.5,34.25,34.25,34.25,1119700
2002-01-30,34.25,34.75,34.25,34.25,34.25,5295600
2002-02-01,34.75,35.0,34.5,35.0,35.0,5922700
2002-02-04,35.0,35.0,34.75,34.75,34.75,1656800
2002-02-05,34.75,35.0,34.5,34.5,34.5,1731400
2002-02-06,34.75,35.0,34.5,34.75,34.75,2302300
2002-02-07,35.0,35.0,34.5,34.5,34.5,3258700
