Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,68.0,87.75,66.0,81.5,74.72176361083984,2840200
2022-04-27,120.0,121.5,113.0,114.0,104.5187759399414,38312500
2022-04-28,112.5,113.5,111.5,112.5,103.14352416992188,39894700
2022-04-29,113.5,115.0,113.0,115.0,105.43560791015625,21106900
2022-05-03,115.0,118.5,113.5,117.5,107.7276840209961,26009800
2022-05-05,119.0,119.0,115.5,115.5,105.89401245117188,14300200
2022-05-06,114.0,114.5,113.0,113.5,104.06035614013672,18610000
2022-05-09,112.5,113.0,110.0,110.5,101.30986022949219,20008500
2022-05-10,110.5,113.0,110.0,113.0,103.60193634033203,19690000
2022-05-11,113.0,113.0,109.5,112.5,103.14352416992188,11274100
2022-05-12,111.5,112.0,108.5,109.0,99.93462371826172,19964000
2022-05-13,110.0,110.0,107.5,107.5,98.55937194824219,11370800
2022-05-17,108.0,108.5,105.5,108.0,99.01778411865234,19527700
2022-05-18,108.5,110.0,107.5,110.0,100.85144805908203,20744700
2022-05-19,108.0,109.0,107.5,108.0,99.01778411865234,8425100
2022-05-20,109.0,112.5,108.5,111.5,102.22669982910156,21988000
2022-05-23,112.0,115.0,111.5,115.0,105.43560791015625,16737500
2022-05-24,115.0,115.0,111.0,111.0,101.76828002929688,16897700
2022-05-25,112.0,112.5,108.5,108.5,99.4761962890625,16910900
2022-05-26,109.5,110.5,109.0,109.5,100.39302825927734,7129300
2022-05-27,110.5,112.0,110.0,111.0,101.76828002929688,7835800
2022-05-30,112.0,113.0,111.5,112.5,103.14352416992188,10112700
2022-05-31,112.5,113.0,110.5,113.0,103.60193634033203,17740700
2022-06-01,112.5,113.0,111.0,111.5,102.22669982910156,8071600
2022-06-02,111.0,112.0,110.5,110.5,101.30986022949219,8704600
2022-06-06,111.0,111.5,108.5,110.0,100.85144805908203,7431800
2022-06-07,110.0,110.5,108.0,108.5,99.4761962890625,4881800
2022-06-08,109.0,110.5,108.5,109.0,99.93462371826172,4370400
2022-06-09,109.0,114.0,108.5,113.0,103.60193634033203,30842400
2022-06-10,112.0,112.5,111.0,111.5,102.22669982910156,10724600
2022-06-13,109.5,109.5,107.0,108.0,99.01778411865234,22434300
2022-06-14,108.0,109.0,107.0,107.5,98.55937194824219,13831200
2022-06-15,108.0,110.0,108.0,109.0,99.93462371826172,13130100
2022-06-16,110.5,111.0,106.0,106.0,97.18412017822266,26391200
2022-06-17,106.5,108.0,105.5,106.0,97.18412017822266,29346600
2022-06-20,106.0,106.0,101.5,103.0,94.43363189697266,25806900
2022-06-21,103.5,105.5,102.5,105.0,96.26728820800781,12490300
2022-06-22,104.5,104.5,101.5,102.0,93.51679992675781,10910200
2022-06-23,102.5,104.0,102.0,102.0,93.51679992675781,9126300
2022-06-24,103.5,104.0,102.5,104.0,95.3504638671875,7743300
2022-06-27,104.0,104.5,103.0,104.0,95.3504638671875,8643700
2022-06-28,104.0,104.5,102.5,104.5,95.80887603759766,8965200
2022-06-29,103.5,104.0,103.0,103.5,94.89204406738281,8119100
