Date,Open,High,Low,Close,Adj Close,Volume
2020-10-22,37.0,37.25,35.0,35.0,33.678863525390625,329771200
2020-10-26,35.0,36.75,35.0,35.5,34.15999221801758,197383800
2020-10-27,35.5,36.0,35.25,35.75,34.400550842285156,78598800
2020-10-28,36.0,36.25,34.0,34.25,32.95717239379883,192663900
2020-10-29,33.5,34.5,32.75,34.5,33.197731018066406,81676300
2020-10-30,34.5,35.75,34.0,35.25,33.919429779052734,96988600
2020-11-02,35.25,35.5,34.75,35.0,33.678863525390625,30949500
2020-11-03,35.25,35.5,34.75,35.0,33.678863525390625,36524300
2020-11-04,35.0,35.5,34.75,35.0,33.678863525390625,34627200
2020-11-05,35.0,35.75,35.0,35.5,34.15999221801758,51576700
2020-11-06,35.25,35.5,35.0,35.0,33.678863525390625,24630200
2020-11-09,35.25,35.25,34.75,35.0,33.678863525390625,28019200
2020-11-10,34.5,35.0,34.0,34.5,33.197731018066406,81797400
2020-11-11,34.75,34.75,34.25,34.5,33.197731018066406,20771300
2020-11-12,34.5,37.75,34.25,37.25,35.84393310546875,214232100
2020-11-13,37.0,37.25,36.5,37.25,35.84393310546875,71762200
2020-11-16,37.5,39.0,37.25,39.0,37.52787399291992,92208600
2020-11-17,38.75,40.0,38.25,39.0,37.52787399291992,97817300
2020-11-18,38.75,39.75,37.75,38.5,37.0467529296875,69864000
2020-11-19,38.5,39.25,38.25,38.5,37.0467529296875,33330800
2020-11-20,38.75,39.5,38.5,39.5,38.009002685546875,40564200
2020-11-23,40.0,40.25,39.5,40.0,38.49012756347656,59009200
2020-11-24,39.75,40.0,38.75,39.0,37.52787399291992,49419600
2020-11-25,39.25,39.75,38.25,39.0,37.52787399291992,39429200
2020-11-26,39.75,41.75,39.75,41.5,39.93350601196289,83371800
2020-11-27,41.75,42.0,40.5,41.5,39.93350601196289,69803500
2020-11-30,41.5,42.75,41.25,42.25,40.65520095825195,61328600
2020-12-01,42.75,43.5,42.25,43.5,41.85801315307617,35099100
2020-12-02,43.5,44.0,42.75,43.25,41.61745071411133,36576700
2020-12-03,43.5,44.25,43.25,44.25,42.5797004699707,19186300
2020-12-04,44.25,44.25,42.75,43.0,41.37689208984375,42615800
2020-12-08,43.0,44.25,42.75,43.0,41.37689208984375,47704500
